Index,UKX
2014-03-13,6620.9
2014-03-14,6553.78
2014-03-17,6527.89
2014-03-18,6568.35
2014-03-19,6605.28
2014-03-20,6573.13
2014-03-21,6542.44
2014-03-24,6557.17
2014-03-25,6520.39
2014-03-26,6604.89
2014-03-27,6605.3
2014-03-28,6588.32
2014-03-31,6615.58
2014-04-01,6598.37
2014-04-02,6652.61
2014-04-03,6659.04
2014-04-04,6649.14
2014-04-07,6695.55
2014-04-08,6622.84
2014-04-09,6590.69
2014-04-10,6635.61
2014-04-11,6641.97
2014-04-14,6561.7
2014-04-15,6583.76
2014-04-16,6541.61
2014-04-17,6584.17
2014-04-21,6625.25
2014-04-22,
2014-04-23,6681.76
2014-04-24,6674.74
2014-04-25,6703.0
2014-04-28,6685.69
2014-04-29,6700.16
2014-04-30,6769.91
2014-05-01,6780.03
2014-05-02,6808.87
2014-05-05,6822.42
2014-05-06,
2014-05-07,6798.56
2014-05-08,6796.44
2014-05-09,6839.25
2014-05-12,6814.57
2014-05-13,6851.75
2014-05-14,6873.08
2014-05-15,6878.49
2014-05-16,6840.89
2014-05-19,6855.81
2014-05-20,6844.55
2014-05-21,6802.0
2014-05-22,6821.04
2014-05-23,6820.56
2014-05-26,6815.75
2014-05-27,
2014-05-28,6844.94
2014-05-29,6851.22
2014-05-30,6871.29
2014-06-02,6844.51
2014-06-03,6864.1
2014-06-04,6836.3
2014-06-05,6818.63
2014-06-06,6813.49
2014-06-09,6858.21
2014-06-10,6875.0
2014-06-11,6873.55
2014-06-12,6838.87
2014-06-13,6843.11
2014-06-16,6777.85
2014-06-17,6754.64
2014-06-18,6766.77
2014-06-19,6778.56
2014-06-20,6808.11
2014-06-23,6825.2
2014-06-24,6800.56
2014-06-25,6787.07
2014-06-26,6733.62
2014-06-27,6735.12
2014-06-30,6757.77
2014-07-01,6743.94
2014-07-02,6802.92
2014-07-03,6816.37
2014-07-04,6865.21
2014-07-07,6866.05
2014-07-08,6823.51
2014-07-09,6738.45
2014-07-10,6718.04
2014-07-11,6672.37
2014-07-14,6690.17
2014-07-15,6746.14
2014-07-16,6710.45
2014-07-17,6784.67
2014-07-18,6738.32
2014-07-21,6749.45
